Symbol	Description
0EVB.L	INYPSA INFORMES Y PROYECTOS SA EUR0.50
0EVI.L	INNATE PHARMA A EUR0.05
0EW1.L	ISRA VISION AG NPV
0EWD.L	INTERPUMP GROUP EUR0.52
0EWR.L	INIT AG NPV
0EXG.L	JERONIMO MARTINS SGPS EUR1.
0EXP.L	JUNGHEINRICH NON VTG PRF SHS NPV
0EYG.L	KBC GROUPE SA NPV
0F07.L	KAUFMAN & BROAD EUR0.26
0F08.L	KONGSBERG GRUPPEN ASA NOK5
0F0J.L	KITRON ASA NOK1
0F1N.L	KWS SAAT AG NPV
0F29.L	LASSILA & TIKAN ORD NPV
0F2N.L	LDLC.COM EUR0.18
0F2Q.L	LA DORIA SPA EUR1.22
0F2Z.L	LEIFHEIT AG NPV
0F4I.L	KLEPIERRE EUR1.40
0F4O.L	LOTUS BAKERIES ORD NPV
0F58.L	GRUPA LOTOS SA PLN1
0F6L.L	MAUREL & PROM EUR0.77
0F7F.L	DURO FELGUERA EUR0.5
0F89.L	METSO OYJ NPV1.70
0F8T.L	MAISONS FRANCE CONFORT NPV
0F8V.L	MGI COUTIER EUR8
0FA0.L	MELEXIS NPV
0FB0.L	MOTA ENGIL SGPS EUR1
0FBM.L	MICRO SYSTEMATIONS NPV SER`B`
0FBS.L	MOBISTAR NPV
0FC9.L	MTU AERO ENGINES INVEST NPV (REGD)
0FCK.L	MVV ENERGIE AG NPV
0FDT.L	NEMETSCHEK AG ORD NPV
0FF9.L	NORDIC SEMICONDUCTOR NOK0.05
0FFY.L	NOKIAN RENKAA(NOKIAN TYRES) EUR0.2
0FG8.L	AUDI AG NPV
0FGH.L	NORWEGIAN AIR SHUTLE ASA NOK0.10
0FGL.L	NEXUS AG NPV
0FH7.L	OHB TELEDATA AG NPV
0FHP.L	OLAV THON EIENDOMSSELSKAP NOK10
0FI1.L	OPAP SA EUR0.30(CR)
0FIN.L	ORKLA ASA NOK1.25
0FIW.L	OSSUR HF ISK1
0FIZ.L	HELLENIC TELECOM.ORGANIZATION S.A. EUR2.39
0FJ8.L	OUTOKUMPU OYJ `A`NPV
