Symbol	Description
ANX.L	Anexo Group Plc
ANXG.L	Amundi ETF
ANXU.L	Amundi Investment Solutions
AO.L	AO World
AOF.L	Africa Opportunity Fund Limited
AOGL.L	Attis Oil and Gas Ltd
AOR.L	Aortech International Plc
APAX.L	Apax Global Alpha Limite
APF.L	Anglo Pacific Group Plc
APGN.L	Applegreen Plc
APH.L	Alliance Pharma Plc
APP.L	Appreciate Group Plc
APQ.L	Apq Global Limited
APTD.L	Aptitude Software Group Plc
AQSG.L	Aquila Services Group Plc
AQX.L	Aquis Exchange Plc
ARB.L	Argo Blockchain Plc
ARBB.L	Arbuthnot Banking Group Plc
ARC.L	Arcontech Group Plc
ARCM.L	Arc Minerals Limited
ARDN.L	Arden Partners Plc
ARE.L	Arena Events Group Plc
ARG.L	Argos Resources Limited
ARGO.L	Argo Group Limited
ARIX.L	Arix Bioscience Plc
ARK.L	Arkle Resources Plc
ARR.L	Aurora Investment Trust Plc
ARS.L	Asiamet Resources Limite
ARTL.L	Alpha Real Trust Limited
ARW.L	Arrow Global Group Plc
ASAI.L	ASA International Group Plc
ASC.L	Asos Plc
ASCI.L	Aberdeen Smaller Companies Income Trust
ASCL.L	Ascential Plc
ASDV.L	SSGA SPDR ETFS Europe I
ASEAN40.L	FTSE Asean 40 Index
ASEAN40N.L	FTSE Asean 40
ASEAN4WN.L	Ftse/Asean 40 Wm Net Tax Index
ASEANAS.L	FTSE Asean All-Share Ind
ASEANEM.L	FTSE Asean All-Share Ex
ASEANSTR.L	FTSE Asean Stars Index
ASEI.L	Aberdeen Standard Equity Income Trust Pl
ASHM.L	Ashmore Group Plc
ASHR.L	DB X-Trackers
ASIL.L	Lyxor International Asse
ASIT.L	Aberforth Split Level Income Trust Plc
ASIU.L	Lyxor International Asse
ASIZ.L	Aberforth Split Level Income Trust Plc
ASL.L	Aberforth Smaller Companies Trust Plc
ASLI.L	Aberdeen Standard European Logistics Inc
AST.L	Ascent Resources Plc
ASTO.L	Assetco Plc
ASX.L	FTSE All-Share
ASXDIGEQ.L	FTSE All Share Digital S
ASXX.L	FTSE All-Share [Exit]
ASY.L	Andrews Sykes Group Plc
AT1.L	Invesco Markets II Plc
AT1D.L	Invesco Markets II Plc
AT1P.L	Invesco Markets II Plc
AT1S.L	Invesco Markets II Plc
ATAD.L	Oao Tatneft
ATM.L	Afritin Mining Limited
ATMA.L	Atlas Mara Co-Nvest Limi
ATQT.L	Attraqt Group Plc
ATR.L	Asian Total Return Inves
ATS.L	Artemis Alpha Trust Plc
ATST.L	Alliance Trust Plc
ATT.L	Allianz Technology Trust
ATY.L	Athelney Trust Plc
ATYM.L	Atalaya Mining Plc
AUAD.L	UBS [Irl] ETF Plc
AUCO.L	Etfx Fund Company Plc
AUCP.L	Etfx Fund Company Plc
AUCT.L	Auctus Growth Plc
AUEG.L	Amundi ETF
AUEM.L	Amundi Investment Solutions
AUG.L	Augean Plc
AUGA.L	UBS [Irl] ETF Plc
AUGM.L	Augmentum Fintech Plc
AUK.L	Aukett Fitzroy Robinson Group Plc
AURA.L	Aura Energy Limited
AUTG.L	Autins Group Plc
AUTO.L	Auto Trader Group Plc
AV.L	Aviva
AV.A.L	Aviva Plc
AV.B.L	Aviva Plc
AVAP.L	Avation Plc
AVCT.L	Avacta Group Plc
AVG.L	Avingtrans Plc
AVGR.L	Avangardco Investments P
AVO.L	Advanced Oncotherapy Plc
AVON.L	Avon Rubber Plc
AVST.L	Avast Plc
AVV.L	Aveva Group Plc
AW01.L	FTSE All World
AW02.L	FTSE All World Ex US
AW03.L	FTSE All World Ex UK
AW04.L	FTSE All World Ex Japan
AW05.L	FTSE All World Ex South
AW06.L	FTSE FTSE All World Asia
AW07.L	FTSE All World Asia Paci
AW08.L	FTSE All World Asia Pac
AW09.L	FTSE All World Asia Pac
AW10.L	FTSE All World Greater C
AW11.L	FTSE All World Europe
AW12.L	FTSE All World Europe Ex
AW13.L	FTSE All World Europe Ex
AW14.L	FTSE All World Eurobloc
AWALEMVN.L	FTSE Emerging Minimum VA
AWALLEN.L	FTSE Emerging Net of Tax
AWALLER.L	FTSE Emerging Net Tax [U
AWAMERS.L	FTSE Americas Index
AWDEUMVN.L	FTSE Developed Europe MI
AWDEURSC.L	FTSE Developed Europe IN
AWDEURSE.L	FTSE Developed Europe IN
AWDEURSG.L	FTSE Developed Europe IN
AWDEURU.L	FTSE Developed Europe Un
AWDPAC.L	FTSE Developed Asia Paci
AWDPACXJ.L	FTSE All-World Devlop Asia Pacific Exclu
AWDPCXJE.L	FTSE Developed Asia Paci
AWDPCXJG.L	FTSE Developed Asia Paci
AWDPXJC.L	FTSE Developed Asia Paci
AWDXNAR.L	FTSE Developed Ex North
AWDXNAU.L	FTSE Developed Ex North
AWEBCMVN.L	FTSE Eurobloc Minimum VA
AWEBLOCE.L	FTSE Eurozone Index [Eur]
AWHDY01.L	FTSE All-World High Divi
AWHDY01C.L	FTSE All-World High Divi
AWHDY01E.L	FTSE All-World High Divi
AWHDY01G.L	FTSE All-World High Divi
AWLDMVN.L	FTSE All-World Minimum Variance Net Tax Index
AWNAMERS.L	FTSE All-World North America Index
AWNT01HK.L	FTSE Japan Net Tax Hkd I
AWNT01JA.L	FTSE Japan Index - Net Tax
AWNT04.L	FTSE Developed Net Tax I
AWNT04CH.L	FTSE Developed Net Tax C
AWNT04EU.L	FTSE Developed Net Tax E
AWNT04UK.L	FTSE Developed Net Tax G
AWNT05.L	FTSE Developed Europe Ex
AWNT05CH.L	FTSE Developed Europe Ex
AWNT05EU.L	FTSE Developed Europe Ex
AWNT05UK.L	FTSE Developed Europe Ex
AWNT06HK.L	FTSE Developed Europe NE
AWNT13.L	FTSE Developed Ex North
AWNT14.L	FTSE North America Net T
AWNT14CH.L	FTSE North America Net T
AWNT14EU.L	FTSE North America Net T
AWNT14UK.L	FTSE North America Net T
AWPXJANN.L	FTSE Asia Pacific Ex Jap
AWSG.L	UBS [Irl] ETF Plc
AWSR.L	UBS [Irl] ETF Plc
AXB.L	Axis Bank Limited
AXI.L	Axiom European Financial Debt Limited
AXS.L	Accsys Technologies Plc
AXX.L	FTSE Aim All-Share Index
AYM.L	Anglesey Mining Plc
AZN.L	Astrazeneca Plc
BA.L	Bae Systems Plc
BA47.L	City of London Investmen
BAB.L	Babcock International Group Plc
BACK.L	Ishares IV Plc
BAF.L	British & American Investment Trust Plc
BAG.L	Barr [A.G.] Plc
BAKK.L	Bakkavor Group Plc
BAR.L	Brand Architekts Group Plc
BARC.L	Barclays Plc
BATG.L	Go Ucits ETF Solutions Plc
BATS.L	British American Tobacco Plc
BATT.L	Go Ucits ETF Solutions Plc
BBB.L	Bigblu Broadband Plc
BBDD.L	Jpmorgan ETFS (Ireland) Icav
BBEG.L	Jpmorgan ETFS (Ireland) Icav
BBGE.L	Jpmorgan ETFS (Ireland) Icav
BBGI.L	Bilfinger Berger Global Infrastructure S
BBH.L	Bb Healthcare Trust Plc
BBIL.L	Jpmorgan ETFS (Ireland) Icav
BBLL.L	Jpmorgan ETFS (Ireland) Icav
BBOX.L	Tritax Big Box REIT Plc
BBRT.L	Jpmorgan ETFS (Ireland) Icav
BBSN.L	Brave Bison Group Plc
BBSU.L	Jpmorgan ETFS (Ireland) Icav
BBTP.L	Jpmorgan ETFS (Ireland) Icav
BBTR.L	Jpmorgan ETFS (Ireland) Icav
BBUD.L	Jpmorgan ETFS (Ireland) Icav
BBUS.L	Jpmorgan ETFS (Ireland) Icav
BBY.L	Balfour Beatty Plc
BBYB.L	Balfour Beatty Plc
BC12.L	Better Capital Pcc Limit
BC53.L	BARCLAYS BANK PLC 9.25% PERPETUAL SUBORD BDS GBP(VAR)(BR)
BC94.L	Samsung Electronics Co L
BCAP.L	Better Capital Pcc Limited
BCCU.L	UBS ETFS Plc
BCHN.L	Invesco Markets II Plc
BCHS.L	Invesco Markets II Plc
BCI.L	BMO Capital & Income Investment Trust Pl
BCN.L	Bacanora Minerals Ltd
BCOG.L	Go Ucits ETF Solutions Plc
BCOM.L	Go Ucits ETF Solutions Plc
BCPT.L	BMO Commercial Property Trust Ltd.
BDEV.L	Barratt Developments Plc
BEE.L	Baring Emerging Europe Plc
BEG.L	Begbies Traynor Group Plc
BEM.L	Beowulf Mining Plc
BERI.L	Blackrock Energy and Resources Income TR
BERM.L	Bermele Plc
BEZ.L	Beazley Plc
BGEO.L	Bank of Georgia Holdings Plc
BGEU.L	Baillie Gifford European Growth Trust
BGFD.L	Baillie Gifford Japan Trust Plc
BGHL.L	Boussard & Gavaudan Holding Limited
BGHS.L	Boussard & Gavaudan Holding Limited
BGLF.L	Blackstone / Gso Loan FI
BGLP.L	Blackstone / Gso Loan Financing Limited
BGO.L	Bango Plc
BGS.L	Baillie Gifford Shin Nippon Plc
BGSC.L	BMO Global Smaller Companies Plc
BGUK.L	Baillie Gifford UK Growth Fund Plc
BHGG.L	Bh Global Limited
BHGU.L	Bh Global Limited
BHI.L	BMO UK High Income Trust Plc
BHIB.L	BMO UK High Income Trust Plc
BHIU.L	BMO UK High Income Trust Plc
BHMG.L	Bh Macro Limited
BHMU.L	Bh Macro Limited
BHP.L	Bhp Group Plc
BHRD.L	BE Heard Group Plc
BIDS.L	Bidstack Group Plc
BIFF.L	Biffa Plc
BIGT.L	Go Ucits ETF Solutions Plc
BILB.L	Bilby Plc
BILL.L	Billing Services Group Limited
BILN.L	Billington Holdings Plc
BIOG.L	Biotech Growth Trust [The] Plc
BIOM.L	Biome Technologies Plc
BIOT.L	Go Ucits ETF Solutions Plc
BIRD.L	Blackbird Plc
BIRG.L	Bank of Ireland Group Plc
BISI.L	Bisichi Mining Plc
BKG.L	Berkeley Group Holdings [The] Plc
BKS.L	Beeks Financial Cloud Group Plc
BKY.L	Berkeley Resources Limited
BLBD.L	Blom Bank Sal
BLND.L	British Land Company Plc
BLOE.L	Block Energy Plc
BLOK.L	First Trust Global Funds Public Limited
BLP.L	Blue Planet International Financials Inv
BLTG.L	Blancco Technology Group Plc
BLU.L	Blue Star Capital Plc
BLV.L	Belvoir Group Plc
BLVN.L	Bowleven Plc
BMD.L	Baronsmead Vct 3 Plc
BME.L	B&M European Value Retai
BMK.L	Benchmark Holdings Plc
BMN.L	Bushveld Minerals Limited
BMPG.L	BMO Managed Portfolio Trust Plc
BMPI.L	BMO Managed Portfolio Trust Plc
BMS.L	Braemar Shipping Services Plc
BMT.L	Braime [T.F. & J.H.] [Holdings] Plc
BMTO.L	Braime Group Plc
BMV.L	Bluebird Merchant Ventures Ltd
BMY.L	Bloomsbury Publishing Plc
BNC.L	Banco Santander S.A.
BNKE.L	Multi Units Luxembourg
BNKR.L	Bankers Investment Trust Plc
BNKS.L	Ishares V Public Limited Company
BNKU.L	Multi Units Luxembourg
BNZL.L	Bunzl Plc
BOCH.L	Bank of Cyprus Holdings Public Limited C
BOD.L	Botswana Diamonds Plc
BOE.L	Boeing Co.
BOIL.L	Baron Oil Plc
BOKU.L	Boku Inc
BONH.L	Bonhill Group Plc
BOO.L	Boohoo.com Plc
BOOM.L	Audioboom Group Plc
BOOT.L	Boot [Henry] Plc
BOR.L	Borders & Southern Petroleum Plc
BOTB.L	Best of The Best Plc
BOWL.L	Hollywood Bowl Group Plc
BOXE.L	Tritax Eurobox Plc
BOY.L	Bodycote Plc
BP.L	Bp - British Petroleum Plc
BP.A.L	BP Plc
BP.B.L	BP Plc
BPC.L	Bahamas Petroleum Company Plc
BPCR.L	Biopharma Credit Plc
BPET.L	BMO Private Equity Trust Plc
BPM.L	B.P. Marsh & Partners Plc
BQAD.L	Bank Audi S.A.L.
BR88.L	3I Group Plc
BRBY.L	Burberry Group Plc
BRCK.L	Brickability Group Plc
BRD.L	Bluerock Diamonds Plc
BREE.L	Breedon Aggregates Ld
BREI.L	BMO Real Estate Investments Limited
BRES.L	Blencowe Resources Plc
BRFI.L	Blackrock Frontiers Investment Trust Plc
BRGE.L	Blackrock Greater Europe Investment Trus
BRH.L	Braveheart Investment Group Plc
BRIC.L	Ishares II Plc
BRICUL2X.L	FTSE BRIC 50 2X Daily Su
BRICUL3X.L	FTSE BRIC 50 3X Daily Le
BRICUS1X.L	FTSE BRIC 50 Daily Short
BRICUS2X.L	FTSE BRIC 50 2X Daily Sh
BRICUS3X.L	FTSE BRIC 50 3X Daily Sh
BRIG.L	Blackrock Income and Growth Investment T
BRK.L	Brooks Macdonald Group Plc
BRLA.L	Blackrock Latin American Investment Trus
BRNA.L	Blackrock North American
BRND.L	Boost Issuer Public Limi
BRNT.L	ETFS Commodity Securities Limited
BRSC.L	Blackrock Smaller CO Trust Plc
BRT3.L	UBS Ag
BRW.L	Brewin Dolphin Holdings Plc
BRWM.L	Blackrock World Mining Trust Plc
BRZ.L	Amundi Investment Solutions
BSC.L	British Smaller Companies Vct2 Plc
BSD.L	B.S.D Crown Ltd
BSE.L	Base Resources Limited
BSFA.L	Bsf Enterprise Plc
BSIF.L	Bluefield Solar Income F
BSRT.L	Baker Steel Resources Trust Limited
BSUS.L	UBS ETF
BSV.L	British Smaller Companies Vct Plc
BT.A.L	Bt Group Plc
BTEC.L	Ishares IV Plc
BTEE.L	Ishares IV Plc
BTEK.L	Ishares IV Plc
BULL.L	ETFS Commodity Securities Limited
BULP.L	ETFS Commodity Securities Limited
BUOY.L	Lyxor Index Fund
BUR.L	Burford Capital Limited
BUR1.L	Burford Capital Plc
BUR2.L	Burford Capital Plc
BUR3.L	Burford Capital Plc
BUT.L	Brunner Investment Trust Plc
BUYB.L	Powershares Glbal Funds
BVA.L	Banco Bilbao Vizcaya Argentaria Sa
BVC.L	Batm Advanced Communications Ld
BVIC.L	Britvic Plc
BVT.L	Baronsmead Vct 2 Plc
BVXP.L	Bioventix Plc
BWNG.L	Brown [N] Group Plc
BWRA.L	Bristol Water Plc
BWSA.L	Bristol & West Plc
BWY.L	Bellway Plc
BXP.L	Beximco Pharmaceuticals Limited
BYBG.L	Amundi ETF
BYBU.L	Amundi ETF
BYG.L	Big Yellow Group Plc
BYOT.L	Byotrol Plc
BZT.L	Bezant Resources Plc
C4XD.L	C4X Discovery Holdings P
C8M.L	Amundi ETF
CACX.L	Lyxor International Asse
CAD.L	Cadogan Petroleum Plc
CAL.L	Capital & Regional Plc
CALL.L	Cloudcall Group Plc
CAM.L	Camellia Plc
CAMB.L	Cambria Automobiles Plc
CAML.L	Central Asia Metals Plc
CAPC.L	Capital & Counties Properties Plc
CAPD.L	Capital Drilling Limited
CAPE.L	Ossiam Lux
CAPU.L	Ossiam Lux
CAR.L	Carclo Plc
CARB.L	ETFS Oil Securities Limited
CARD.L	Card Factory Plc
CARP.L	ETFS Oil Securities Limited
CARR.L	Carr's Group Plc
CASE.L	Go Ucits ETF Solutions P
CASH.L	Go Ucits ETF Solutions P
CASP.L	Caspian Sunrise Plc
CAT.L	Catco Reinsurance Opportunities Fund Lim
CATC.L	Catco Reinsurance Opportunities Fund Lim
CATL.L	ETFS Commodity Securities Limited
CAU.L	Centaur Media Plc
CAY.L	Charles Stanley Group Plc
CB5.L	Amundi ETF
CBA.L	Ceiba Investments Limited
CBE3.L	Ishares Vii Plc
CBG.L	Close Brothers Group Plc
CBKD.L	Commercial International
CBND.L	Goldman Sachs ETF Icav
CBOX.L	Cake Box Holdings Plc
CBP.L	Curtis Banks Group Plc
CBSE.L	UBS ETF
CBU0.L	Ishares Vii Plc
CBU3.L	Ishares Vii Plc
CBU7.L	Ishares Vii Plc
CBUG.L	Ishares Vii Plc
CC1G.L	Amundi ETF
CC1U.L	Amundi ETF
CCAU.L	Ishares Vii Plc
CCBO.L	Wisdomtree Issuer Plc
CCC.L	Computacenter Plc
CCEP.L	Coca-Cola European Partners Plc
CCH.L	Coca-Cola Hbc Ag
CCJI.L	CC Japan Income & Growth Trust Plc
CCL.L	Carnival Plc
CCP.L	Celtic Plc
CCPA.L	Celtic Plc
CCPE.L	Cvc Credit Partners Euro
CCPG.L	Cvc Credit Partners Euro
CCR.L	C&C Group Plc
CCS.L	Crossword Cybersecurity Plc
CCSL.L	Chenavari Capital Soluti
CCT.L	Character Group Plc
CD6.L	Amundi ETF
CDFF.L	Cardiff Property Plc
CDIS.L	SSGA SPDR ETFS Europe II
CDM.L	Codemasters Group Holdings Plc
CE01.L	Ishares Vii Plc
CE2D.L	Amundi Index Solutions
CE31.L	Ishares Vii Plc
CE71.L	Ishares Vii Plc
CE9G.L	Amundi ETF
CE9U.L	Amundi ETF
CEA1.L	Ishares Vii Plc
CECD.L	Lyxor International Asse
CECL.L	Lyxor International Asse
CEMA.L	CS ETF [Ie] Plc
CEMG.L	Ishares V Public Limited
CEPS.L	Ceps Plc
CER.L	Cerillion Plc
CERP.L	Columbus Energy Resources Plc
CES1.L	Ishares Vii Plc
CEU.L	CS ETF [Ie] Plc
CEU1.L	Ishares Vii Plc
CEUG.L	Ishares Vii Plc
CEUS.L	CS ETF [Ie] Plc
CEY.L	Centamin Plc
CFHS.L	Cathay Financial Holding
CFX.L	Colefax Group Plc
CFYN.L	Caffyns Plc
CG1.L	Amundi ETF
CGB.L	DB X-Trackers II
CGEO.L	Georgia Capital Plc
CGH.L	Chaarat Gold Holdings Ltd
CGI.L	Canadian General Investments Ld
CGNR.L	Conroy Gold & Natural Resources Plc
CGS.L	Castings Plc
CGT.L	Capital Gearing Trust Plc
CGW.L	Chelverton Growth Trust Plc
CH5.L	Amundi ETF
CH80.L	FTSE China Index
CHAL.L	Challenger Acquisitions
CHAR.L	Chariot Oil & Gas Limited
CHF.L	Chesterfield Resources Plc
CHG.L	Chemring Group Plc
CHH.L	Churchill China Plc
CHIN.L	Icbc Credit Suisse Ucits ETF Sicav
CHIP.L	Icbc Credit Suisse Ucits ETF Sicav
CHRT.L	Cohort Plc
CI1.L	Amundi ETF
CI2G.L	Amundi ETF
CI2U.L	Amundi ETF
CIC.L	Conygar Investment Company Plc [The]
CIFU.L	Carador Income Fund Plc
CIHL.L	Caribbean Investment Holdings Limited
CIN.L	City of London Group Plc
CIND.L	CS ETF [Ie] Plc
CINE.L	Cineworld Group Plc
CIP.L	Cip Merchant Capital Limited
CIR.L	Circassia Pharmaceutical
CIT2.L	Leverage Shares Public Limited Company
CITE.L	Leverage Shares Public Limited Company
CJ1G.L	Amundi ETF
CJ1U.L	Amundi ETF
CJPU.L	Ishares Vii Plc
CKN.L	Clarkson Plc
CKT.L	Checkit Plc
CLC.L	Calculus Vct Plc
CLCO.L	Cloudcoco Group Plc
CLDN.L	Caledonia Investments Plc
CLG.L	Clipper Logistics Plc
CLI.L	Cls Holdings Plc
CLIG.L	City of London Investment Group Plc
CLIM.L	Multi Units Luxembourg
CLIN.L	Clinigen Group Plc
CLL.L	Cello Group Plc
CLMU.L	Multi Units Luxembourg
CLNR.L	Cluff Natural Resources Plc
CLON.L	Clontarf Energy Plc
CLP.L	Clear Leisure Plc
CLSU.L	Clearstar Inc
CMB.L	Cambria Africa Plc
CMB1.L	Ishares Vii Plc
CMCL.L	Caledonia Mining Corporation
CMCX.L	Cmc Markets Plc
CMFP.L	Etfx Fund Company Plc
CMH.L	Chamberlin Plc
CMHY.L	City Merchants High Yield Trust Limited
CML.L	Cml Microsystems Plc
CMOD.L	Source Markets Public Limited Company
CMOP.L	Source Markets Public Limited Company
CMU.L	Amundi Investment Solutions
CMX.L	Catalyst Media Group Plc
CMX1.L	Ishares Vii Plc
CMXC.L	CS ETF [Ie] Plc
CN1.L	Amundi ETF
CNA.L	Centrica Plc
CNAA.L	Multi Units France
CNAL.L	Multi Units France
CNC.L	Concurrent Technologies Plc
CNCT.L	Connect Group Plc
CNDX.L	CS ETF [Ie] Plc
CNE.L	Cairn Energy Plc
CNEL.L	China New Energy Limited
CNG.L	China Nonferrous Gold Li
CNIC.L	Centralnic Group Plc
CNKS.L	Cenkos Securities Plc
CNKY.L	CS ETF [Ie] Plc
CNN.L	Caledonian Trust Plc
CNR.L	Condor Gold Plc
CNS.L	Corero Network Security Plc
CNSD.L	China Steel Corporation
CNX1.L	Ishares Vii Plc
CNYA.L	Ishares IV Plc
COA.L	Coats Group Plc
COBR.L	Cobra Resources Plc
COCB.L	Wisdomtree Issuer Plc
COCO.L	ETFS Commodity Securities Limited
COD.L	Compagnie DE Saint Gobain Sa
COFF.L	ETFS Commodity Securities Limited
COG.L	Cambridge Cognition Hold
COGO.L	Wisdomtree Issuer Plc
COM.L	Comptoir Group Plc
COMF.L	Etfx Fund Company Plc
COMM.L	Ishares Vi Plc
COPA.L	ETFS Commodity Securities Limited
COPL.L	Canadian Overseas Petrol
CORA.L	Cora Gold Limited
CORN.L	ETFS Commodity Securities Limited
CORO.L	Coro Energy Plc
CORP.L	Ishares Plc
COS.L	Collagen Solutions Plc
COST.L	Costain Group Plc
COTN.L	ETFS Commodity Securities Limited
COUK.L	Multi Units France
COWZ.L	Pacer US Cash Cows 100 Index
CP9G.L	Amundi ETF
CP9U.L	Amundi ETF
CPC.L	City Pub Group Plc [The]
CPG.L	Compass Group Plc
CPI.L	Capita Plc
CPJ1.L	Ishares Vii Plc
CPP.L	Cppgroup Plc
CPS.L	Cpl Resources Plc
CPT.L	Concepta Plc
CPX.L	Cap-Xx Limited
CPXJ.L	CS ETF [Ie] Plc
CRAL.L	Multi Units Luxembourg
CRAU.L	Multi Units Luxembourg
CRBL.L	Lyxor International Asse
CRBU.L	Lyxor International Asse
CRC.L	Circle Property Plc
CRDA.L	Croda International Plc
CREI.L	Custodian REIT Plc
CREO.L	Creo Medical Group Plc
CRH.L	CRH Plc
CRHG.L	Ishares Plc
CRL.L	Creightons Plc
CRM2.L	Leverage Shares Public Limited Company
CRME.L	Leverage Shares Public Limited Company
CRN.L	Cairn Homes Plc
CRNL.L	Lyxor International Asse
CRNO.L	Lyxor International Asse
CRPA.L	Ishares Plc
CRPH.L	Ishares Vi Plc [The Comp
CRPR.L	Cropper [James] Plc
CRPS.L	Ishares Plc
CRPU.L	Ishares Plc
CRPX.L	Lyxor International Asse
CRS.L	Crystal Amber Fund Limited
CRST.L	Crest Nicholson Holdings
CRU.L	Coral Products Plc
CRU1.L	Ishares Vii Plc
CRUD.L	ETFS Commodity Securities Limited
CRV.L	Craven House Capital Plc
CRW.L	Craneware Plc
CRWN.L	Crown Place Vct Plc
CRWU.L	Ossiam Lux
CS1.L	Amundi ETF
CS5.L	Amundi ETF
CS51.L	Ishares Vii Plc
CSCA.L	CS ETF [Ie] Plc
CSH.L	Civitas Social Housing Plc
CSH2.L	Lyxor Index Fund
CSHD.L	Lyxor International Asse
CSJP.L	CS ETF [Ie] Plc
CSKR.L	CS ETF [Ie] Plc
CSN.L	Chesnara Plc
CSP.L	Countryside Properties Plc
CSP1.L	Ishares Vii Plc
CSPX.L	CS ETF [Ie] Plc
CSRU.L	CS ETF [Ie] Plc
CSSG.L	Croma Security Solutions Group Plc
CSTP.L	SSGA SPDR ETFS Europe II
CSUK.L	CS ETF [Ie] Plc
CSUS.L	CS ETF [Ie] Plc
CSWG.L	Amundi ETF
CSWU.L	Amundi ETF
CSX5.L	Ishares Vii Plc
CTEA.L	Catenae Innovation Plc
CTEC.L	Convatec Group Plc
CTG.L	Christie Group Plc
CTH.L	Caretech Holdings Plc
CTI.L	Cathay International Holdings Ld
CTO.L	Tclarke Plc
CTP.L	Castleton Technology Plc
CTY.L	City of London Investment Trust Plc
CTYA.L	City of London Investment Trust Plc
CU1.L	Ishares Vii Plc
CU2G.L	Amundi ETF
CU2U.L	Amundi ETF
CU31.L	Ishares Vii Plc
CU5.L	Amundi ETF
CU71.L	Ishares Vii Plc
CUK.L	Amundi Investment Solutions
CUKS.L	CS ETF [Ie] Plc
CUKX.L	CS ETF [Ie] Plc
CUS1.L	Ishares Vii Plc
CUSS.L	CS ETF [Ie] Plc
CVSG.L	CVS Group Plc
CW8G.L	Amundi ETF
CW8U.L	Amundi ETF
CWD.L	Countrywide Plc
CWEG.L	Amundi ETF
CWEU.L	Amundi ETF
CWFG.L	Amundi ETF
CWFU.L	Amundi ETF
CWK.L	Cranswick Plc
CWR.L	Ceres Power Holdings Plc
CXAU.L	UBS ETFS Plc
CYAN.L	Cyanconnode Holdings Plc
CYN.L	Cqs Natural Resources Growth & Income Plc
CYS.L	Chrysalis Vct Plc
CZN.L	Curzon Energy Plc
D4H.L	Downing Four Vct Plc
D4T4.L	D4T4 Solutions Plc
DAL.L	Dalata Hotel Group Plc
DATA.L	Globaldata Plc
DAXX.L	Multi Units Luxembourg
DBOX.L	Digitalbox Plc
DBRC.L	Ishares II Plc
DC.L	Dixons Carphone
DCC.L	Dcc Plc
DCD.L	Dcd Media Plc
DCI.L	Dolphin Capital Investors Limited
DCTA.L	Directa Plus Plc
DDDD.L	4D Pharma Plc
DDV1.L	Downing One Vct Plc
DEL2.L	Go Ucits ETF Solutions P
DEM.L	Wisdomtree Issuer Plc
DEMA.L	Wisdomtree Issuer Plc
DEMD.L	Wisdomtree Issuer Plc
DEMG.L	Deltex Medical Group Plc
DEMP.L	Wisdomtree Issuer Plc
DEMR.L	Wisdomtree Issuer Plc
DEMS.L	Wisdomtree Issuer Plc
DEMV.L	Ossiam Lux
DES2.L	Go Ucits ETF Solutions P
DESD.L	Wisdomtree Issuer Plc
DESE.L	Wisdomtree Issuer Plc
DEST.L	Destiny Pharma Plc
DEV.L	Dev Clever Holdings Plc
DEVC.L	Draper Esprit Vct Plc
DFCH.L	Distribution Finance Capital Holdings Pl
DFE.L	Wisdomtree Issuer Plc
DFEA.L	Wisdomtree Issuer Plc
DFEE.L	Wisdomtree Issuer Plc
DFEP.L	Wisdomtree Issuer Plc
DFJ.L	Wisdomtree Issuer Plc
DFJA.L	Wisdomtree Issuer Plc
DFS.L	Dfs Furniture Plc
DGE.L	Diageo Plc
DGED.L	Diageo Plc
DGIT.L	Ishares IV Plc
DGN.L	Asia Dragon Trust Plc
DGOC.L	Diversified Gas & Oil Plc
DGRA.L	Wisdomtree Issuer Plc
DGRG.L	Wisdomtree Issuer Plc
DGRP.L	Wisdomtree Issuer Plc
DGRW.L	Wisdomtree Issuer Plc
DGSD.L	Wisdomtree Issuer Plc
DGSE.L	Wisdomtree Issuer Plc
DGTL.L	Ishares IV Plc
DH2O.L	Ishares II Plc
DHS.L	Wisdomtree Issuer Plc
DHSA.L	Wisdomtree Issuer Plc
DHSD.L	Wisdomtree Issuer Plc
DHSG.L	Wisdomtree Issuer Plc
DHSP.L	Wisdomtree Issuer Plc
DHYA.L	Ishares II Plc
DIA.L	Dialight Plc
DIG.L	Dunedin Income Growth Investment Trust P
DIGS.L	Gcp Student Living Plc
DIS.L	Distil Plc
DISH.L	Bigdish Plc
DISW.L	Multi Units Luxembourg
DIVI.L	Diverse Income Trust [The] Plc
DJAN.L	Daejan Holdings Plc
DJEL.L	Lyxor International Asse
DJEU.L	Lyxor International Asse
DJMC.L	Ishares Plc
DJSC.L	Ishares Plc
DKE.L	Dukemount Capital Plc
DKL.L	Dekel Agri-Vision Plc
DKUS.L	FTSE Nasdaq Dubai Kuwait 15 Shariah Inde
DKUW.L	FTSE Nasdaq Dubai Kuwait 15 Index
DL2P.L	Go Ucits ETF Solutions P
DLAR.L	DE LA Rue Plc
DLG.L	Direct Line Insurance Gr
DLN.L	Derwent London Plc
DLTM.L	Ishares II Plc
DMGT.L	Daily Mail & General Trust Plc
DMTR.L	Deepmatter Group Plc
DNA.L	Doric Nimrod Air One Limited
DNA2.L	Doric Nimrod Air Two Lim
DNA3.L	Doric Nimrod Air Three L
DNE.L	Dunedin Enterprise Investment Trust Plc
DNK.L	Danakali Limited
DNL.L	Diurnal Group Plc
DNLM.L	Dunelm Group Plc
DOCG.L	Legal & General Ucits ETF Public Limited
DOCT.L	Legal & General Ucits ETF Public Limited
DODS.L	Dods [Group] Plc
